All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION
The,44,./markedupfiles/063.txt,1,44,False,100,1,3,100,False,False,False,100
Usdaw,45,./markedupfiles/063.txt,1,45,False,100,0,4,100,False,False,False,100
MSP,61,./markedupfiles/063.txt,1,61,False,4,3,2,3,False,False,False,100
Karen,62,./markedupfiles/063.txt,1,62,False,5,2,3,2,False,False,False,100
Whitefield,63,./markedupfiles/063.txt,1,63,False,100,1,4,1,False,False,False,100
Christmas,98,./markedupfiles/063.txt,1,98,False,100,100,1,1,False,False,False,100
Day,99,./markedupfiles/063.txt,1,99,False,100,100,2,0,False,False,False,100
New,101,./markedupfiles/063.txt,1,101,False,100,100,1,100,False,False,False,100
Year's,102,./markedupfiles/063.txt,1,102,False,100,100,2,100,False,True,False,100
Day.,103,./markedupfiles/063.txt,1,103,False,100,100,3,100,False,False,False,100
Whitefield,105,./markedupfiles/063.txt,1,105,False,100,2,5,2,False,False,False,100
"""The",126,./markedupfiles/063.txt,1,126,False,5,2,2,100,False,False,False,100
Usdaw,155,./markedupfiles/063.txt,1,155,False,5,100,2,100,False,False,False,100
John,158,./markedupfiles/063.txt,1,158,False,100,100,5,100,False,False,False,100
Hannett,159,./markedupfiles/063.txt,1,159,False,100,100,100,3,False,False,False,100
"""Christmas",161,./markedupfiles/063.txt,1,161,False,100,100,100,1,False,False,False,100
Day,162,./markedupfiles/063.txt,1,162,False,100,100,100,0,False,False,False,100
New,164,./markedupfiles/063.txt,1,164,False,100,100,1,2,False,False,False,100
Year's,165,./markedupfiles/063.txt,1,165,False,100,100,2,1,False,True,False,100
Day,166,./markedupfiles/063.txt,1,166,False,100,100,3,0,False,False,False,100
Scotland,173,./markedupfiles/063.txt,1,173,False,100,100,1,0,False,False,False,100
They,190,./markedupfiles/063.txt,1,190,False,5,100,2,0,False,False,False,100
"""We",197,./markedupfiles/063.txt,1,197,False,100,2,2,2,False,False,False,100
Karen,202,./markedupfiles/063.txt,1,202,True,1,100,2,0,False,False,False,100
The,236,./markedupfiles/063.txt,1,236,False,100,100,2,1,False,False,False,100
Christmas,240,./markedupfiles/063.txt,1,240,False,100,100,1,100,False,False,False,100
New,242,./markedupfiles/063.txt,1,242,False,100,100,3,100,False,False,False,100
Year's,243,./markedupfiles/063.txt,1,243,False,100,3,4,3,False,True,False,100
Day,244,./markedupfiles/063.txt,1,244,False,100,2,5,2,False,False,False,100
Trading,245,./markedupfiles/063.txt,1,245,False,100,1,100,1,False,False,False,100
Bill,246,./markedupfiles/063.txt,1,246,False,100,0,100,0,False,False,False,100
February.,258,./markedupfiles/063.txt,1,258,False,100,100,2,100,False,False,False,100
Howard,0,./markedupfiles/300.txt,1,0,True,100,1,100,2,False,False,False,100
Michael,6,./markedupfiles/300.txt,1,6,False,4,1,3,1,False,False,False,100
Howard,7,./markedupfiles/300.txt,1,7,False,5,0,4,0,False,False,False,100
Labour,21,./markedupfiles/300.txt,1,21,False,2,1,3,1,False,False,False,100
The,27,./markedupfiles/300.txt,1,27,False,4,2,4,3,False,False,False,100
Tory,28,./markedupfiles/300.txt,1,28,False,5,1,5,2,False,False,False,100
"""collective",38,./markedupfiles/300.txt,1,38,False,3,100,1,1,False,False,False,100
"""good",43,./markedupfiles/300.txt,1,43,False,100,100,1,1,False,False,False,100
"""not",49,./markedupfiles/300.txt,1,49,False,1,100,1,0,False,False,False,100
The,73,./markedupfiles/300.txt,1,73,False,100,2,3,2,False,False,False,100
Lib,74,./markedupfiles/300.txt,1,74,False,100,1,4,1,False,False,False,100
Dems,75,./markedupfiles/300.txt,1,75,False,100,0,5,0,False,False,False,100
Monday.,87,./markedupfiles/300.txt,1,87,False,3,2,3,100,False,False,False,100
Tory,88,./markedupfiles/300.txt,1,88,False,4,1,4,100,False,False,False,100
Among,102,./markedupfiles/300.txt,1,102,False,100,2,4,0,False,False,False,100
David,117,./markedupfiles/300.txt,1,117,False,5,100,5,3,False,False,False,100
Davis,118,./markedupfiles/300.txt,1,118,False,100,100,100,2,False,False,False,100
Oliver,119,./markedupfiles/300.txt,1,119,False,100,100,100,1,False,False,False,100
Letwin,120,./markedupfiles/300.txt,1,120,False,100,100,100,0,False,False,False,100
Tim,122,./markedupfiles/300.txt,1,122,False,100,100,1,100,False,False,False,100
Yeo.,123,./markedupfiles/300.txt,1,123,False,100,100,2,100,False,False,False,100
But,124,./markedupfiles/300.txt,1,124,False,100,100,3,100,False,False,False,100
Howard,126,./markedupfiles/300.txt,1,126,False,100,100,5,3,False,False,False,100
Yeo,129,./markedupfiles/300.txt,1,129,False,100,1,100,0,False,False,False,100
"""stink"".",138,./markedupfiles/300.txt,1,138,False,3,2,2,3,False,False,False,100
Davis,149,./markedupfiles/300.txt,1,149,False,100,0,100,2,False,False,False,100
"""set",151,./markedupfiles/300.txt,1,151,False,1,100,100,0,False,False,False,100
Howard,168,./markedupfiles/300.txt,1,168,False,4,0,5,1,False,False,False,100
"""help",177,./markedupfiles/300.txt,1,177,False,1,100,5,0,False,False,False,100
"""When",193,./markedupfiles/300.txt,1,193,False,5,2,4,0,False,False,False,100
"""good",208,./markedupfiles/300.txt,1,208,False,1,100,1,2,False,False,False,100
Cabinet,218,./markedupfiles/300.txt,1,218,False,3,0,2,0,False,False,False,100
"""conflicting",224,./markedupfiles/300.txt,1,224,False,5,100,1,1,False,False,False,100
"""soft""",260,./markedupfiles/300.txt,1,260,False,4,100,2,0,False,False,False,100
Labour.,266,./markedupfiles/300.txt,1,266,False,1,2,1,3,False,False,False,100
The,267,./markedupfiles/300.txt,1,267,False,2,1,2,2,False,False,False,100
Conservatives,268,./markedupfiles/300.txt,1,268,False,3,0,3,1,False,False,False,100
Monday,277,./markedupfiles/300.txt,1,277,False,100,100,1,3,False,False,False,100
Sources,279,./markedupfiles/300.txt,1,279,False,100,3,3,1,False,False,False,100
BBC,285,./markedupfiles/300.txt,1,285,False,2,2,4,2,False,False,False,100
Howard,287,./markedupfiles/300.txt,1,287,False,4,0,3,0,False,False,False,100
Home,304,./markedupfiles/300.txt,1,304,False,1,100,1,2,False,False,False,100
Secretary.,305,./markedupfiles/300.txt,1,305,False,2,100,2,1,False,False,False,100
But,306,./markedupfiles/300.txt,1,306,False,3,100,3,0,False,False,False,100
Tories,308,./markedupfiles/300.txt,1,308,False,5,2,1,1,False,False,False,100
They,323,./markedupfiles/300.txt,1,323,False,100,0,2,1,False,False,False,100
Labour,329,./markedupfiles/300.txt,1,329,False,1,3,4,0,False,False,False,100
Home,339,./markedupfiles/300.txt,1,339,False,4,1,1,2,False,False,False,100
Office,340,./markedupfiles/300.txt,1,340,False,5,0,2,1,False,False,False,100
And,347,./markedupfiles/300.txt,1,347,False,3,2,3,0,False,False,False,100
"""It",366,./markedupfiles/300.txt,1,366,False,3,0,3,0,False,False,False,100
Lib,386,./markedupfiles/300.txt,1,386,False,100,100,3,100,False,False,False,100
Dem,387,./markedupfiles/300.txt,1,387,False,100,100,4,100,False,False,False,100
Mark,391,./markedupfiles/300.txt,1,391,False,100,1,100,1,False,False,False,100
Oaten,392,./markedupfiles/300.txt,1,392,False,100,0,100,0,False,False,False,100
"""deeply",403,./markedupfiles/300.txt,1,403,False,4,100,1,100,False,False,False,100
"""This",407,./markedupfiles/300.txt,1,407,False,100,0,5,0,False,False,False,100
Michael,413,./markedupfiles/300.txt,1,413,False,5,100,1,100,False,False,False,100
Howard,414,./markedupfiles/300.txt,1,414,False,100,100,2,3,False,False,False,100
The,421,./markedupfiles/300.txt,1,421,False,100,100,3,1,False,False,False,100
Bar,425,./markedupfiles/300.txt,1,425,False,100,100,1,100,False,False,False,100
Council,426,./markedupfiles/300.txt,1,426,False,100,100,2,100,False,False,False,100
Guy,427,./markedupfiles/300.txt,1,427,False,100,100,3,3,False,False,False,100
Mansfield,428,./markedupfiles/300.txt,1,428,False,100,3,4,2,False,False,False,100
"""margins",440,./markedupfiles/300.txt,1,440,False,5,2,1,0,False,False,False,100
"""What",451,./markedupfiles/300.txt,1,451,False,100,0,2,0,False,False,False,100
Asian,458,./markedupfiles/300.txt,1,458,False,4,3,4,1,False,False,False,100
They,469,./markedupfiles/300.txt,1,469,False,3,2,2,0,False,False,False,100
[ID,478,./markedupfiles/300.txt,1,478,False,5,100,2,1,False,False,False,100
Tory,486,./markedupfiles/300.txt,1,486,False,2,3,2,100,False,False,False,100
Douglas,488,./markedupfiles/300.txt,1,488,False,4,1,4,2,False,False,False,100
Hogg,489,./markedupfiles/300.txt,1,489,False,5,0,5,1,False,False,False,100
"""regressive""",501,./markedupfiles/300.txt,1,501,False,100,2,1,1,False,False,False,100
Britain's,533,./markedupfiles/300.txt,1,533,False,4,100,1,2,False,True,False,100
Muslims,0,./markedupfiles/062.txt,1,0,False,100,100,100,100,False,False,False,100
Issues,4,./markedupfiles/062.txt,1,4,False,100,2,100,0,False,False,False,100
Muslims,6,./markedupfiles/062.txt,1,6,False,100,0,1,0,False,False,False,100
The,25,./markedupfiles/062.txt,1,25,False,100,1,4,1,False,False,False,100
Muslim,32,./markedupfiles/062.txt,1,32,False,3,100,1,1,False,False,False,100
Association,33,./markedupfiles/062.txt,1,33,False,4,100,2,0,False,False,False,100
Britain,35,./markedupfiles/062.txt,1,35,False,100,100,1,1,False,False,False,100
Muslim,39,./markedupfiles/062.txt,1,39,False,100,1,2,3,False,False,False,100
Last,50,./markedupfiles/062.txt,1,50,False,3,100,3,2,False,False,False,100
MAB,52,./markedupfiles/062.txt,1,52,False,2,100,5,0,False,False,False,100
Iraq,58,./markedupfiles/062.txt,1,58,False,100,3,1,2,False,False,False,100
Muslims,60,./markedupfiles/062.txt,1,60,False,100,1,3,0,False,False,False,100
Labour,65,./markedupfiles/062.txt,1,65,False,3,100,1,0,False,False,False,100
European,68,./markedupfiles/062.txt,1,68,False,100,100,1,2,False,False,False,100
But,70,./markedupfiles/062.txt,1,70,False,100,100,3,0,False,False,False,100
"""not",77,./markedupfiles/062.txt,1,77,False,1,100,1,100,False,False,False,100
"""This",80,./markedupfiles/062.txt,1,80,False,4,1,4,1,False,False,False,100
Muslims,98,./markedupfiles/062.txt,1,98,False,2,0,2,0,False,False,False,100
MAB,102,./markedupfiles/062.txt,1,102,False,3,100,3,100,False,False,False,100
Azzam,105,./markedupfiles/062.txt,1,105,False,100,1,100,2,False,False,False,100
Tamimi,106,./markedupfiles/062.txt,1,106,False,100,0,100,1,False,False,False,100
Tuesday's,109,./markedupfiles/062.txt,1,109,False,2,100,1,2,False,True,False,100
"""There",111,./markedupfiles/062.txt,1,111,False,4,3,3,0,False,False,False,100
Muslims,117,./markedupfiles/062.txt,1,117,False,1,100,1,0,False,False,False,100
Muslims,119,./markedupfiles/062.txt,1,119,False,3,100,1,2,False,False,False,100
Tamimi,141,./markedupfiles/062.txt,1,141,False,4,0,3,1,False,False,False,100
Muslims,146,./markedupfiles/062.txt,1,146,False,4,0,3,0,False,False,False,100
Iraq,158,./markedupfiles/062.txt,1,158,False,5,100,1,0,False,False,False,100
Palestinian,160,./markedupfiles/062.txt,1,160,False,100,100,5,1,False,False,False,100
Muslims,168,./markedupfiles/062.txt,1,168,False,100,100,1,0,False,False,False,100
Approximately,178,./markedupfiles/062.txt,1,178,False,100,100,3,1,False,False,False,100
UK's,182,./markedupfiles/062.txt,1,182,False,100,100,1,2,False,True,False,100
Muslims,184,./markedupfiles/062.txt,1,184,False,100,100,3,0,False,False,False,100
Previous,189,./markedupfiles/062.txt,1,189,False,100,1,3,2,False,False,False,100
Labour,200,./markedupfiles/062.txt,1,200,False,3,100,3,0,False,False,False,100
Labour,207,./markedupfiles/062.txt,1,207,False,2,0,2,1,False,False,False,100
Muslim,216,./markedupfiles/062.txt,1,216,False,100,100,1,2,False,False,False,100
Anger,218,./markedupfiles/062.txt,1,218,False,100,100,3,0,False,False,False,100
Iraq,223,./markedupfiles/062.txt,1,223,False,100,0,1,0,False,False,False,100
"""unjustified"".",236,./markedupfiles/062.txt,1,236,False,1,100,1,1,False,False,False,100
Representatives,237,./markedupfiles/062.txt,1,237,False,2,100,2,0,False,False,False,100
Muslim,242,./markedupfiles/062.txt,1,242,False,100,1,1,1,False,False,False,100
Tuesday's,246,./markedupfiles/062.txt,1,246,False,1,3,2,2,False,True,False,100
Among,248,./markedupfiles/062.txt,1,248,False,3,1,4,0,False,False,False,100
Muslim,253,./markedupfiles/062.txt,1,253,False,2,100,1,1,False,False,False,100
Council,254,./markedupfiles/062.txt,1,254,False,3,100,2,0,False,False,False,100
Britain,256,./markedupfiles/062.txt,1,256,False,5,100,1,3,False,False,False,100
The,258,./markedupfiles/062.txt,1,258,False,100,100,3,1,False,False,False,100
MCB's,262,./markedupfiles/062.txt,1,262,False,100,100,1,100,False,True,False,100
Sher,266,./markedupfiles/062.txt,1,266,False,100,1,5,2,False,False,False,100
Khan,267,./markedupfiles/062.txt,1,267,False,100,0,100,1,False,False,False,100
Iraq,272,./markedupfiles/062.txt,1,272,False,4,0,1,1,False,False,False,100
"""significant",276,./markedupfiles/062.txt,1,276,False,2,100,1,100,False,False,False,100
Muslims',279,./markedupfiles/062.txt,1,279,False,5,3,4,100,False,True,False,100
Khan,304,./markedupfiles/062.txt,1,304,False,4,100,3,100,False,False,False,100
However,306,./markedupfiles/062.txt,1,306,False,100,100,5,3,False,False,False,100
Professor,307,./markedupfiles/062.txt,1,307,False,100,100,100,2,False,False,False,100
John,308,./markedupfiles/062.txt,1,308,False,100,100,100,1,False,False,False,1
Curtice,309,./markedupfiles/062.txt,1,309,False,100,100,100,0,False,False,False,2
University,312,./markedupfiles/062.txt,1,312,False,100,2,1,0,False,False,False,5
Strathclyde,314,./markedupfiles/062.txt,1,314,False,100,0,4,0,False,False,False,100
Muslims,324,./markedupfiles/062.txt,1,324,False,100,0,1,3,False,False,False,100
"""For",327,./markedupfiles/062.txt,1,327,False,2,2,4,0,False,False,False,100
Labour,332,./markedupfiles/062.txt,1,332,False,2,100,4,1,False,False,False,100
Muslim,338,./markedupfiles/062.txt,1,338,False,100,100,2,1,False,False,False,100
Professor,355,./markedupfiles/062.txt,1,355,False,100,100,2,100,False,False,False,100
Curtice,356,./markedupfiles/062.txt,1,356,True,100,100,3,3,False,False,False,1
The,358,./markedupfiles/062.txt,1,358,False,100,3,5,1,False,False,False,3
Labour,361,./markedupfiles/062.txt,1,361,False,100,0,1,0,False,False,False,100
Muslim,368,./markedupfiles/062.txt,1,368,False,3,2,1,2,False,False,False,100
Bethnal,372,./markedupfiles/062.txt,1,372,False,1,100,1,1,False,False,False,100
Green,373,./markedupfiles/062.txt,1,373,False,2,100,2,0,False,False,False,100
London,376,./markedupfiles/062.txt,1,376,False,5,100,2,0,False,False,False,100
Rochdale,378,./markedupfiles/062.txt,1,378,False,100,100,1,0,False,False,False,100
Lancashire,380,./markedupfiles/062.txt,1,380,False,100,100,1,0,False,False,False,100
Bethnal,384,./markedupfiles/062.txt,1,384,False,100,100,3,100,False,False,False,100
Green,385,./markedupfiles/062.txt,1,385,False,100,100,4,100,False,False,False,100
Labour,387,./markedupfiles/062.txt,1,387,False,100,100,100,3,False,False,False,100
George,389,./markedupfiles/062.txt,1,389,False,100,100,100,1,False,False,False,1
Galloway,390,./markedupfiles/062.txt,1,390,False,100,100,100,0,False,False,False,2
Respect,396,./markedupfiles/062.txt,1,396,False,100,0,3,0,False,False,False,100
Oona,402,./markedupfiles/062.txt,1,402,False,5,2,3,1,False,False,False,1
King,403,./markedupfiles/062.txt,1,403,False,100,1,4,0,False,False,False,2
Rochdale,412,./markedupfiles/062.txt,1,412,False,100,100,3,0,False,False,False,100
Liberal,414,./markedupfiles/062.txt,1,414,False,100,100,1,2,False,False,False,100
Democrats,415,./markedupfiles/062.txt,1,415,False,100,100,2,1,False,False,False,100
ICM,422,./markedupfiles/062.txt,1,422,False,100,1,2,2,False,False,False,100
Muslim,429,./markedupfiles/062.txt,1,429,False,4,100,1,1,False,False,False,100
Labour,432,./markedupfiles/062.txt,1,432,False,100,1,1,100,False,False,False,100
Labour's,448,./markedupfiles/062.txt,1,448,False,100,100,1,100,False,True,False,100
Lorna,449,./markedupfiles/062.txt,1,449,False,100,100,2,100,False,False,False,100
Fitzsimons.,450,./markedupfiles/062.txt,1,450,False,100,3,3,100,False,False,False,100
But,451,./markedupfiles/062.txt,1,451,False,100,2,4,3,False,False,False,100
Professor,452,./markedupfiles/062.txt,1,452,False,100,1,5,2,False,False,False,100
Curtice,453,./markedupfiles/062.txt,1,453,True,100,0,100,1,False,False,False,1
Muslim,456,./markedupfiles/062.txt,1,456,False,2,2,1,3,False,False,False,4
Liberal,464,./markedupfiles/062.txt,1,464,False,3,100,1,1,False,False,False,100
Democrats,465,./markedupfiles/062.txt,1,465,False,4,100,2,0,False,False,False,100
Respect,467,./markedupfiles/062.txt,1,467,False,100,2,1,100,False,False,False,100
"""Ironically",477,./markedupfiles/062.txt,1,477,False,100,2,3,0,False,False,False,100
Tories,479,./markedupfiles/062.txt,1,479,False,100,0,5,1,False,False,False,100
Labour,485,./markedupfiles/062.txt,1,485,False,4,0,1,0,False,False,False,100
But,496,./markedupfiles/062.txt,1,496,False,100,2,2,100,False,False,False,100
Tamimi,498,./markedupfiles/062.txt,1,498,False,100,0,4,3,False,False,False,100
MAB's,500,./markedupfiles/062.txt,1,500,False,1,1,100,1,False,True,False,100
"""empower""",505,./markedupfiles/062.txt,1,505,False,1,3,1,0,False,False,False,100
Tories.,507,./markedupfiles/062.txt,1,507,False,3,1,1,2,False,False,False,100
"""We",508,./markedupfiles/062.txt,1,508,False,4,0,2,1,False,False,False,100
Labour,515,./markedupfiles/062.txt,1,515,False,1,100,1,0,False,False,False,100
Muslims,532,./markedupfiles/062.txt,1,532,False,5,100,1,1,False,False,False,100
"""If",537,./markedupfiles/062.txt,1,537,False,100,100,3,0,False,False,False,100
Labour,540,./markedupfiles/062.txt,1,540,False,100,1,2,1,False,False,False,100
Tamimi,566,./markedupfiles/062.txt,1,566,False,100,100,3,100,False,False,False,100
Report,0,./markedupfiles/076.txt,1,0,False,100,100,100,100,False,False,False,100
The,4,./markedupfiles/076.txt,1,4,False,100,3,100,1,False,False,False,100
Ministry,5,./markedupfiles/076.txt,1,5,False,100,2,100,0,False,False,False,100
Defence,7,./markedupfiles/076.txt,1,7,False,100,0,1,0,False,False,False,100
National,25,./markedupfiles/076.txt,1,25,False,100,2,5,3,False,False,False,100
Audit,26,./markedupfiles/076.txt,1,26,False,100,1,100,2,False,False,False,100
Office,27,./markedupfiles/076.txt,1,27,False,100,0,100,1,False,False,False,100
"""little",48,./markedupfiles/076.txt,1,48,False,1,100,1,1,False,False,False,100
MoD's,51,./markedupfiles/076.txt,1,51,False,4,1,1,1,False,True,False,100
"""smart",60,./markedupfiles/076.txt,1,60,False,100,100,1,100,False,False,False,100
BBC,72,./markedupfiles/076.txt,1,72,False,2,1,1,1,False,False,False,100
The,77,./markedupfiles/076.txt,1,77,False,3,2,2,100,False,False,False,100
NAO's,78,./markedupfiles/076.txt,1,78,False,4,1,3,3,False,True,False,100
The,101,./markedupfiles/076.txt,1,101,False,100,3,3,3,False,False,False,100
Sir,116,./markedupfiles/076.txt,1,116,False,100,2,3,3,True,False,False,100
John,117,./markedupfiles/076.txt,1,117,False,100,1,4,2,False,False,False,100
Bourn,118,./markedupfiles/076.txt,1,118,False,100,0,5,1,False,False,False,100
NAO,122,./markedupfiles/076.txt,1,122,False,3,0,1,1,False,False,False,100
"""Many",141,./markedupfiles/076.txt,1,141,False,3,1,3,1,False,False,False,100
MoD,151,./markedupfiles/076.txt,1,151,False,5,0,4,0,False,False,False,100
The,166,./markedupfiles/076.txt,1,166,False,2,1,3,2,False,False,False,100
NAO,167,./markedupfiles/076.txt,1,167,False,3,0,4,1,False,False,False,100
"""legacy",187,./markedupfiles/076.txt,1,187,False,100,100,2,1,False,False,False,100
Eurofighter.,192,./markedupfiles/076.txt,1,192,False,100,100,1,100,False,False,False,100
BBC's,200,./markedupfiles/076.txt,1,200,False,2,100,1,100,False,True,False,100
Paul,203,./markedupfiles/076.txt,1,203,False,5,1,4,2,False,False,False,100
Adams,204,./markedupfiles/076.txt,1,204,False,100,0,5,1,False,False,False,100
This,226,./markedupfiles/076.txt,1,226,False,2,2,3,2,False,False,False,100
Defence,239,./markedupfiles/076.txt,1,239,False,100,100,1,3,False,False,False,100
Procurement,240,./markedupfiles/076.txt,1,240,False,100,3,2,2,False,False,False,100
Agency,241,./markedupfiles/076.txt,1,241,False,100,2,3,1,False,False,False,100
Lord,253,./markedupfiles/076.txt,1,253,False,2,100,2,2,True,False,False,100
Bach,254,./markedupfiles/076.txt,1,254,False,3,100,3,1,False,False,False,100
Minister,255,./markedupfiles/076.txt,1,255,False,4,3,4,0,False,False,False,100
Defence,257,./markedupfiles/076.txt,1,257,False,100,1,1,2,False,False,False,2
Procurement,258,./markedupfiles/076.txt,1,258,False,100,0,2,1,False,False,False,3
"""obviously",262,./markedupfiles/076.txt,1,262,False,1,100,1,2,False,False,False,100
Defence,276,./markedupfiles/076.txt,1,276,False,100,2,1,2,False,False,False,100
Procurement,277,./markedupfiles/076.txt,1,277,False,100,1,2,1,False,False,False,100
Agency,278,./markedupfiles/076.txt,1,278,False,100,0,3,0,False,False,False,100
"""undertaken",280,./markedupfiles/076.txt,1,280,False,1,100,1,0,False,False,False,100
The,293,./markedupfiles/076.txt,1,293,False,100,100,2,3,False,False,False,100
Turning,317,./markedupfiles/076.txt,1,317,False,100,100,3,1,False,False,False,100
Defence,320,./markedupfiles/076.txt,1,320,False,100,100,1,3,False,False,False,100
Procurement,321,./markedupfiles/076.txt,1,321,False,100,100,2,2,False,False,False,100
Agency,322,./markedupfiles/076.txt,1,322,False,100,100,3,1,False,False,False,100
"""was",323,./markedupfiles/076.txt,1,323,False,100,100,4,0,False,False,False,100
Our,344,./markedupfiles/076.txt,1,344,False,4,1,2,2,False,False,False,100
Joint,354,./markedupfiles/076.txt,1,354,False,100,100,5,2,False,False,False,100
Strike,355,./markedupfiles/076.txt,1,355,False,100,100,2,1,False,False,False,100
Fighter,356,./markedupfiles/076.txt,1,356,False,100,100,3,0,False,False,False,100
Nimrod,358,./markedupfiles/076.txt,1,358,False,100,100,5,0,False,False,False,100
Type,364,./markedupfiles/076.txt,1,364,False,100,3,1,2,False,False,False,100
Destroyer,366,./markedupfiles/076.txt,1,366,False,100,1,3,0,False,False,False,100
But,379,./markedupfiles/076.txt,1,379,False,4,100,2,0,False,False,False,100
Successor,392,./markedupfiles/076.txt,1,392,False,100,100,1,2,False,False,False,100
Identification,393,./markedupfiles/076.txt,1,393,False,100,100,2,1,False,False,False,100
Friend,394,./markedupfiles/076.txt,1,394,False,100,3,3,0,False,False,False,100
Foe,396,./markedupfiles/076.txt,1,396,False,100,1,1,1,False,False,False,100
Tory,0,./markedupfiles/089.txt,1,0,False,100,100,100,100,False,False,False,100
David,5,./markedupfiles/089.txt,1,5,False,100,1,100,1,False,False,False,100
McLetchie,6,./markedupfiles/089.txt,1,6,False,100,0,100,0,False,False,False,100
The,25,./markedupfiles/089.txt,1,25,False,100,3,3,3,False,False,False,100
Scottish,26,./markedupfiles/089.txt,1,26,False,100,2,4,2,False,False,False,100
Conservative,27,./markedupfiles/089.txt,1,27,False,100,1,5,1,False,False,False,100
Tods,36,./markedupfiles/089.txt,1,36,False,100,1,1,1,False,False,False,100
Murray,37,./markedupfiles/089.txt,1,37,False,100,0,2,0,False,False,False,100
But,45,./markedupfiles/089.txt,1,45,False,5,100,2,0,False,False,False,100
Friday,47,./markedupfiles/089.txt,1,47,False,100,3,1,0,False,False,False,100
McLetchie,62,./markedupfiles/089.txt,1,62,False,100,0,4,0,False,False,False,100
Holyrood,67,./markedupfiles/089.txt,1,67,False,4,100,1,1,False,False,False,100
Labour,76,./markedupfiles/089.txt,1,76,False,2,0,2,1,False,False,False,100
"""cleverly""",80,./markedupfiles/089.txt,1,80,False,1,3,1,0,False,False,False,100
Tory,87,./markedupfiles/089.txt,1,87,False,3,100,4,3,False,False,False,100
"""totally",89,./markedupfiles/089.txt,1,89,False,5,100,100,1,False,False,False,100
McLetchie,94,./markedupfiles/089.txt,1,94,False,100,100,3,2,False,False,False,100
Edinburgh,116,./markedupfiles/089.txt,1,116,False,100,3,1,3,False,False,False,100
Airport.,117,./markedupfiles/089.txt,1,117,False,100,2,2,2,False,False,False,100
The,118,./markedupfiles/089.txt,1,118,False,100,1,3,1,False,False,False,100
MSP,119,./markedupfiles/089.txt,1,119,False,100,0,4,0,False,False,False,100
Tods,125,./markedupfiles/089.txt,1,125,False,4,2,1,1,False,False,False,100
Murray,126,./markedupfiles/089.txt,1,126,False,5,1,2,0,False,False,False,100
McLetchie,135,./markedupfiles/089.txt,1,135,False,100,0,3,0,False,False,False,100
Explaining,180,./markedupfiles/089.txt,1,180,False,3,1,4,0,False,False,False,100
McLetchie,188,./markedupfiles/089.txt,1,188,False,100,2,3,2,False,False,False,100
Tods,203,./markedupfiles/089.txt,1,203,False,100,3,1,3,False,False,False,100
Murray.,204,./markedupfiles/089.txt,1,204,False,100,2,2,2,False,False,False,100
"""However",205,./markedupfiles/089.txt,1,205,False,100,1,3,1,False,False,False,100
"""To",217,./markedupfiles/089.txt,1,217,False,2,0,5,1,False,False,False,100
Tods,232,./markedupfiles/089.txt,1,232,False,100,100,5,1,False,False,False,100
Murray,233,./markedupfiles/089.txt,1,233,False,100,3,2,0,False,False,False,100
Tods,272,./markedupfiles/089.txt,1,272,False,2,100,1,1,False,False,False,100
Murray,273,./markedupfiles/089.txt,1,273,False,3,100,2,0,False,False,False,100
Labour,286,./markedupfiles/089.txt,1,286,False,100,3,2,3,False,False,False,100
MSP,287,./markedupfiles/089.txt,1,287,False,100,2,3,2,False,False,False,100
Christine,288,./markedupfiles/089.txt,1,288,False,100,1,4,1,False,False,False,100
May,289,./markedupfiles/089.txt,1,289,False,100,0,5,0,False,False,False,100
McLetchie,293,./markedupfiles/089.txt,1,293,False,2,0,3,0,False,False,False,100
"""very",295,./markedupfiles/089.txt,1,295,False,1,1,1,1,False,False,False,100
"""He",313,./markedupfiles/089.txt,1,313,False,100,0,2,0,False,False,False,100
Section,341,./markedupfiles/089.txt,1,341,False,4,100,2,1,False,False,False,100
MSPs,350,./markedupfiles/089.txt,1,350,False,4,0,100,0,False,False,False,100
"""where",362,./markedupfiles/089.txt,1,362,False,5,1,4,0,False,False,False,100
However,381,./markedupfiles/089.txt,1,381,False,100,100,3,2,False,False,False,100
MSPs',382,./markedupfiles/089.txt,1,382,False,100,100,4,1,False,True,False,100
Code,383,./markedupfiles/089.txt,1,383,False,100,100,5,0,False,False,False,100
Conduct,385,./markedupfiles/089.txt,1,385,False,100,100,1,1,False,False,False,100
"""recognises",386,./markedupfiles/089.txt,1,386,False,100,100,2,0,False,False,False,100
But,409,./markedupfiles/089.txt,1,409,False,5,100,2,0,False,False,False,100
Holyrood's,413,./markedupfiles/089.txt,1,413,False,100,100,1,100,False,True,False,100
Chamber,414,./markedupfiles/089.txt,1,414,False,100,100,2,100,False,False,False,100
Office,415,./markedupfiles/089.txt,1,415,False,100,100,3,100,False,False,False,100
Ken,417,./markedupfiles/089.txt,1,417,False,100,2,5,100,False,False,False,100
Hughes,418,./markedupfiles/089.txt,1,418,False,100,1,100,3,False,False,False,100
McLetchie,424,./markedupfiles/089.txt,1,424,False,4,0,2,0,False,False,False,100
Commenting,441,./markedupfiles/089.txt,1,441,False,100,100,2,0,False,False,False,100
McLetchie's,444,./markedupfiles/089.txt,1,444,False,100,1,2,1,False,True,False,100
