All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps
Human,165,./markedupfiles/229.txt,1,165,False,100,100,1,2,False,False,False,100,True,False,True
Rights,166,./markedupfiles/229.txt,1,166,False,100,100,2,1,False,False,False,100,True,False,True
Ministry,167,./markedupfiles/229.txt,1,167,False,100,3,3,0,False,False,False,100,True,False,True
Defence,169,./markedupfiles/229.txt,1,169,False,100,1,1,2,False,False,False,100,True,False,False
UK-controlled,173,./markedupfiles/229.txt,1,173,False,2,100,1,1,False,False,False,100,False,False,False
Iraq,177,./markedupfiles/229.txt,1,177,False,100,0,2,0,False,False,False,100,False,False,False
European,180,./markedupfiles/229.txt,1,180,False,2,100,2,100,False,False,False,100,False,False,False
Lord,183,./markedupfiles/229.txt,1,183,False,5,100,5,2,True,False,False,100,False,False,True
Justice,184,./markedupfiles/229.txt,1,184,False,100,100,100,1,False,False,False,100,False,False,True
Rix,185,./markedupfiles/229.txt,1,185,False,100,100,100,0,False,False,False,100,False,False,True
Justice,188,./markedupfiles/229.txt,1,188,False,100,1,2,2,False,False,False,100,False,False,True
Forbes,189,./markedupfiles/229.txt,1,189,False,100,0,3,1,False,False,False,100,False,False,True
UK-run,198,./markedupfiles/229.txt,1,198,False,2,2,1,1,False,False,False,100,True,False,False
Mousa,215,./markedupfiles/229.txt,1,215,False,3,0,2,0,False,False,False,100,False,False,True
UKs,227,./markedupfiles/229.txt,1,227,False,3,100,1,1,False,False,False,100,False,False,False
Iraqis,232,./markedupfiles/229.txt,1,232,False,100,0,2,0,False,False,False,100,False,False,False
Carla,271,./markedupfiles/229.txt,1,271,False,100,100,2,3,False,False,False,100,False,False,True
Ferstman,272,./markedupfiles/229.txt,1,272,False,100,100,3,2,False,False,False,100,False,False,True
Redress,280,./markedupfiles/229.txt,1,280,False,100,2,4,2,False,False,False,100,False,False,False
British,323,./markedupfiles/229.txt,1,323,False,5,100,5,2,False,False,False,100,False,False,False
Iraqi,330,./markedupfiles/229.txt,1,330,False,100,100,1,2,False,False,False,100,False,False,False
Iraqi,338,./markedupfiles/229.txt,1,338,False,100,100,2,1,False,False,False,100,False,False,False
May,341,./markedupfiles/229.txt,1,341,False,100,3,1,3,False,False,False,100,True,False,False
Prime,350,./markedupfiles/229.txt,1,350,False,2,100,2,100,False,False,False,100,False,False,True
Minister,351,./markedupfiles/229.txt,1,351,False,3,100,3,100,False,False,False,100,False,False,True
Tony,352,./markedupfiles/229.txt,1,352,False,4,100,4,100,False,False,False,1,False,False,True
Blairs,353,./markedupfiles/229.txt,1,353,False,5,100,5,100,False,False,False,2,False,False,False
Obviously,357,./markedupfiles/229.txt,1,357,False,100,1,100,0,False,False,False,100,False,False,False
MoD,394,./markedupfiles/229.txt,1,394,False,100,3,1,0,False,False,False,100,False,False,True
British,402,./markedupfiles/229.txt,1,402,False,4,100,4,100,False,False,False,100,False,False,True
Commander,403,./markedupfiles/229.txt,1,403,False,5,3,5,100,False,False,False,100,False,False,True
Colonel,404,./markedupfiles/229.txt,1,404,False,100,2,100,100,False,False,False,1,False,False,True
Bob,405,./markedupfiles/229.txt,1,405,False,100,1,100,100,False,False,False,2,False,False,True
Stewart,406,./markedupfiles/229.txt,1,406,False,100,0,100,3,False,False,False,3,False,False,False
Anyone,408,./markedupfiles/229.txt,1,408,False,1,100,100,1,False,False,False,5,False,False,False
[of,412,./markedupfiles/229.txt,1,412,False,5,3,1,1,False,False,False,100,True,False,False
British,445,./markedupfiles/229.txt,1,445,False,100,2,5,3,False,False,False,100,False,False,True
Ministry,458,./markedupfiles/229.txt,1,458,False,100,3,2,1,False,False,False,100,False,False,True
Defence,460,./markedupfiles/229.txt,1,460,False,100,1,4,1,False,False,False,100,False,False,True
Hewitt,0,./markedupfiles/003.txt,1,0,True,100,3,100,100,False,False,False,100,False,False,False
Plans,4,./markedupfiles/003.txt,1,4,False,100,0,100,0,False,False,False,100,False,False,False
Labours,17,./markedupfiles/003.txt,1,17,False,3,100,1,2,False,False,False,100,True,False,False
Trade,21,./markedupfiles/003.txt,1,21,False,100,3,1,0,False,False,False,100,True,False,False
Industry,23,./markedupfiles/003.txt,1,23,False,100,1,1,1,False,False,False,100,False,False,True
Secretary,24,./markedupfiles/003.txt,1,24,False,100,0,2,0,False,False,False,100,False,False,True
Patricia,27,./markedupfiles/003.txt,1,27,False,2,1,2,2,False,False,False,3,False,False,True
Hewitt,28,./markedupfiles/003.txt,1,28,False,3,0,3,1,False,False,False,4,False,False,False
Hewitt,52,./markedupfiles/003.txt,1,52,False,100,0,100,0,False,False,False,100,False,False,False
Equal,64,./markedupfiles/003.txt,1,64,False,100,100,1,100,False,False,False,100,False,False,True
Opportunities,65,./markedupfiles/003.txt,1,65,False,100,3,2,3,False,False,False,100,False,False,True
Commission,66,./markedupfiles/003.txt,1,66,False,100,2,3,2,False,False,False,100,False,False,True
Mothers,68,./markedupfiles/003.txt,1,68,False,100,0,5,0,False,False,False,100,False,False,False
Hewitt,83,./markedupfiles/003.txt,1,83,False,100,0,4,1,False,False,False,100,False,False,False
Clearly,87,./markedupfiles/003.txt,1,87,False,3,100,2,1,False,False,False,100,False,False,False
Hewitt,147,./markedupfiles/003.txt,1,147,False,4,1,3,2,False,False,False,100,False,False,False
Plans,176,./markedupfiles/003.txt,1,176,False,100,100,3,2,False,False,False,100,False,False,False
Women,200,./markedupfiles/003.txt,1,200,False,100,3,3,0,False,False,False,100,True,False,False
Equal,212,./markedupfiles/003.txt,1,212,False,2,100,1,3,False,False,False,100,False,False,True
Opportunities,213,./markedupfiles/003.txt,1,213,False,3,100,2,2,False,False,False,100,False,False,True
Commission,214,./markedupfiles/003.txt,1,214,False,4,3,3,1,False,False,False,100,False,False,True
Career,234,./markedupfiles/003.txt,1,234,False,2,100,4,3,False,False,False,100,False,False,False
Earlier,270,./markedupfiles/003.txt,1,270,False,100,1,2,0,False,False,False,100,False,False,False
BBC,273,./markedupfiles/003.txt,1,273,False,1,100,5,100,False,False,False,100,False,False,True
Radio,274,./markedupfiles/003.txt,1,274,False,2,100,3,100,False,False,False,100,False,False,True
Today,276,./markedupfiles/003.txt,1,276,False,4,100,5,2,False,False,False,100,False,False,False
Unfortunately,312,./markedupfiles/003.txt,1,312,False,4,100,3,0,False,False,False,100,False,False,False
Career,333,./markedupfiles/003.txt,1,333,False,100,1,2,1,False,False,False,100,False,False,False
Construction,354,./markedupfiles/003.txt,1,354,False,5,0,3,0,False,False,False,100,True,False,False
Career,376,./markedupfiles/003.txt,1,376,False,100,1,2,2,False,False,False,100,False,False,False
Department,422,./markedupfiles/003.txt,1,422,False,3,100,1,0,False,False,False,100,False,False,True
Trade,424,./markedupfiles/003.txt,1,424,False,5,2,1,0,False,False,False,100,False,False,False
Industry,426,./markedupfiles/003.txt,1,426,False,100,0,1,0,False,False,False,100,False,False,False
TUC,441,./markedupfiles/003.txt,1,441,False,3,1,1,1,False,False,False,100,False,False,True
Research,456,./markedupfiles/003.txt,1,456,False,100,100,4,1,False,False,False,100,True,False,False
EOC,460,./markedupfiles/003.txt,1,460,False,100,100,1,3,False,False,False,100,False,False,False
Britons,466,./markedupfiles/003.txt,1,466,False,100,2,2,1,False,False,False,100,False,False,False
Women,484,./markedupfiles/003.txt,1,484,False,100,0,2,2,False,False,False,100,False,False,False
FTSE,494,./markedupfiles/003.txt,1,494,False,100,100,1,2,False,False,False,100,True,False,False
Tsunami,0,./markedupfiles/017.txt,1,0,False,100,1,100,2,False,False,False,100,False,False,False
Chancellor,6,./markedupfiles/017.txt,1,6,False,1,2,2,2,False,False,False,100,False,False,False
Gordon,7,./markedupfiles/017.txt,1,7,False,2,1,3,1,False,False,False,1,False,False,True
Brown,8,./markedupfiles/017.txt,1,8,False,3,0,4,0,False,False,False,2,False,False,False
Friday,27,./markedupfiles/017.txt,1,27,False,100,100,1,0,False,False,False,100,True,False,True
Thursday,57,./markedupfiles/017.txt,1,57,False,4,100,1,1,False,False,False,100,True,False,False
Japan,60,./markedupfiles/017.txt,1,60,False,100,100,1,1,False,False,False,100,True,False,False
Brown,73,./markedupfiles/017.txt,1,73,False,3,1,3,2,False,False,False,100,False,False,False
World,92,./markedupfiles/017.txt,1,92,False,2,100,1,1,False,False,False,100,False,False,True
Bank,93,./markedupfiles/017.txt,1,93,False,3,100,2,0,False,False,False,100,False,False,True
International,96,./markedupfiles/017.txt,1,96,False,100,2,5,2,False,False,False,100,False,False,True
Monetary,97,./markedupfiles/017.txt,1,97,False,100,1,2,1,False,False,False,100,False,False,True
Fund,98,./markedupfiles/017.txt,1,98,False,100,0,3,0,False,False,False,100,False,False,True
Brown,119,./markedupfiles/017.txt,1,119,False,5,0,3,0,False,False,False,100,False,False,False
Britain,132,./markedupfiles/017.txt,1,132,False,100,100,1,0,False,False,False,100,False,False,False
Germany,135,./markedupfiles/017.txt,1,135,False,100,1,2,2,False,False,False,100,False,False,False
Canada,141,./markedupfiles/017.txt,1,141,False,2,0,1,0,False,False,False,100,True,False,False
Foreign,152,./markedupfiles/017.txt,1,152,False,2,3,1,100,False,False,False,100,False,False,True
Secretary,153,./markedupfiles/017.txt,1,153,False,3,2,2,3,False,False,False,100,False,False,True
Jack,154,./markedupfiles/017.txt,1,154,False,4,1,3,2,False,False,False,1,False,False,True
Straw,155,./markedupfiles/017.txt,1,155,False,5,0,4,1,False,False,False,2,False,False,False
Britons,160,./markedupfiles/017.txt,1,160,False,4,100,1,1,False,False,False,100,False,False,False
Boateng,0,./markedupfiles/407.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False
Paul,6,./markedupfiles/407.txt,1,6,False,5,3,2,3,False,False,False,100,True,False,True
Boateng,7,./markedupfiles/407.txt,1,7,False,100,2,3,2,False,False,False,100,True,False,True
Chief,8,./markedupfiles/407.txt,1,8,False,100,1,4,1,False,False,False,100,True,False,True
Secretary,9,./markedupfiles/407.txt,1,9,False,100,0,5,0,False,False,False,1,True,False,True
Treasury,12,./markedupfiles/407.txt,1,12,False,2,0,1,0,False,False,False,4,False,False,False
Labour,19,./markedupfiles/407.txt,1,19,False,5,100,1,1,False,False,False,100,True,False,True
Boateng,27,./markedupfiles/407.txt,1,27,False,100,1,5,1,False,False,False,100,False,False,False
UKs,33,./markedupfiles/407.txt,1,33,False,2,2,1,2,False,False,False,100,False,False,False
South,37,./markedupfiles/407.txt,1,37,False,1,2,1,2,False,False,False,100,False,False,True
Africa,38,./markedupfiles/407.txt,1,38,False,2,1,2,1,False,False,False,100,False,False,True
UKs,42,./markedupfiles/407.txt,1,42,False,2,100,1,100,False,False,False,100,False,False,False
Home,57,./markedupfiles/407.txt,1,57,False,3,3,1,1,False,False,False,100,True,False,True
Office,58,./markedupfiles/407.txt,1,58,False,4,2,2,0,False,False,False,100,False,False,True
Boateng,66,./markedupfiles/407.txt,1,66,False,4,0,4,1,False,False,False,100,False,False,False
Greater,70,./markedupfiles/407.txt,1,70,False,3,100,1,2,False,False,False,100,True,False,True
London,71,./markedupfiles/407.txt,1,71,False,4,100,2,1,False,False,False,100,True,False,True
Council,72,./markedupfiles/407.txt,1,72,False,5,3,3,0,False,False,False,100,True,False,True
Parliament,77,./markedupfiles/407.txt,1,77,False,1,100,1,0,False,False,False,100,False,False,False
Brent,82,./markedupfiles/407.txt,1,82,False,100,100,4,100,False,False,False,100,True,False,True
South,83,./markedupfiles/407.txt,1,83,False,100,3,5,3,False,False,False,100,True,False,True
Soweto,85,./markedupfiles/407.txt,1,85,False,100,1,100,1,False,False,False,100,False,False,True
High,91,./markedupfiles/407.txt,1,91,False,3,100,2,100,False,False,False,100,False,False,True
Commissioner,92,./markedupfiles/407.txt,1,92,False,4,100,3,3,False,False,False,100,False,False,True
Ann,93,./markedupfiles/407.txt,1,93,False,5,100,4,2,False,False,False,100,False,False,True
Grant,94,./markedupfiles/407.txt,1,94,False,100,100,5,1,False,False,False,100,False,False,False
May,109,./markedupfiles/407.txt,1,109,False,3,2,2,0,False,False,False,100,True,False,True
Labours,115,./markedupfiles/407.txt,1,115,False,3,100,1,100,False,False,False,100,True,False,False
Prime,117,./markedupfiles/407.txt,1,117,False,5,100,3,100,False,False,False,100,True,False,True
Minister,118,./markedupfiles/407.txt,1,118,False,100,100,4,100,False,False,False,100,True,False,True
Tony,119,./markedupfiles/407.txt,1,119,False,100,3,5,3,False,False,False,1,True,False,True
Blair,120,./markedupfiles/407.txt,1,120,False,100,2,100,2,False,False,False,2,False,False,False
Paul,122,./markedupfiles/407.txt,1,122,True,100,0,100,0,False,False,False,4,False,False,False
Britain,146,./markedupfiles/407.txt,1,146,False,4,100,1,0,False,False,False,100,True,False,False
Britain,163,./markedupfiles/407.txt,1,163,False,4,100,1,0,False,False,False,100,False,False,False
South,170,./markedupfiles/407.txt,1,170,False,100,100,1,100,False,False,False,100,True,False,True
Africa.,171,./markedupfiles/407.txt,1,171,False,100,100,2,100,False,False,False,100,True,False,True
Chancellor,172,./markedupfiles/407.txt,1,172,False,100,100,3,100,False,False,False,100,True,False,True
Gordon,173,./markedupfiles/407.txt,1,173,False,100,100,4,3,False,False,False,1,True,False,True
Brown,174,./markedupfiles/407.txt,1,174,False,100,100,5,2,False,False,False,2,True,False,False
Pauls,181,./markedupfiles/407.txt,1,181,True,100,1,4,1,False,False,False,100,False,False,False
Treasury,185,./markedupfiles/407.txt,1,185,False,2,3,1,0,False,False,False,100,False,False,False
Treasury,208,./markedupfiles/407.txt,1,208,False,100,100,1,3,False,False,False,100,True,False,False
Paul,211,./markedupfiles/407.txt,1,211,True,100,100,4,0,False,False,False,100,True,False,False
African,225,./markedupfiles/407.txt,1,225,False,4,100,1,1,False,False,False,100,False,False,False
African,244,./markedupfiles/407.txt,1,244,False,5,2,1,2,False,False,False,100,False,False,False
Paul,246,./markedupfiles/407.txt,1,246,True,100,0,3,0,False,False,False,100,False,False,False
Paul,269,./markedupfiles/407.txt,1,269,True,5,100,1,0,False,False,False,100,False,False,False
Boateng,275,./markedupfiles/407.txt,1,275,False,100,100,4,2,False,False,False,100,True,False,False
South,301,./markedupfiles/407.txt,1,301,False,5,100,1,1,False,False,False,100,False,False,True
Africa,302,./markedupfiles/407.txt,1,302,False,100,100,2,0,False,False,False,100,False,False,True
African,305,./markedupfiles/407.txt,1,305,False,100,2,1,3,False,False,False,100,False,False,False
Asked,326,./markedupfiles/407.txt,1,326,False,100,2,3,0,False,False,False,100,False,False,False
Labour,357,./markedupfiles/407.txt,1,357,False,4,3,1,0,False,False,False,100,False,False,False
Conservative,359,./markedupfiles/407.txt,1,359,False,100,1,1,1,False,False,False,100,False,False,False
Boateng,372,./markedupfiles/407.txt,1,372,False,4,100,4,2,False,False,False,100,False,False,False
Brent,381,./markedupfiles/407.txt,1,381,False,100,2,1,2,False,False,False,100,True,False,True
South,382,./markedupfiles/407.txt,1,382,False,100,1,2,1,False,False,False,100,True,False,True
Labour,395,./markedupfiles/407.txt,1,395,False,5,100,2,1,False,False,False,100,False,False,False
Shadow,400,./markedupfiles/407.txt,1,400,False,100,100,2,100,False,False,False,100,True,False,False
Michael,403,./markedupfiles/407.txt,1,403,False,100,1,5,3,False,False,False,100,False,False,True
Ancram,404,./markedupfiles/407.txt,1,404,False,100,0,100,2,False,False,False,100,False,False,False
Boatengs,417,./markedupfiles/407.txt,1,417,False,3,100,4,1,False,False,False,100,False,False,False
Helen,424,./markedupfiles/407.txt,1,424,False,100,100,3,1,False,False,False,100,False,False,True
Liddell,425,./markedupfiles/407.txt,1,425,False,100,3,4,0,False,False,False,100,False,False,False
Australia,430,./markedupfiles/407.txt,1,430,False,1,100,1,3,False,False,False,100,False,False,False
Blairs,432,./markedupfiles/407.txt,1,432,False,3,100,3,1,False,False,False,100,False,False,False
Paul,435,./markedupfiles/407.txt,1,435,False,100,1,1,1,False,False,False,100,False,False,True
Boateng,436,./markedupfiles/407.txt,1,436,False,100,0,2,0,False,False,False,100,False,False,False
Tonys,447,./markedupfiles/407.txt,1,447,True,100,3,2,1,False,False,False,100,True,False,False
Profile,0,./markedupfiles/406.txt,1,0,False,100,100,100,2,False,False,False,100,False,False,False
Gordon,1,./markedupfiles/406.txt,1,1,False,100,100,100,1,False,False,False,100,False,False,True
Brown,2,./markedupfiles/406.txt,1,2,False,100,100,100,0,False,False,False,100,False,False,True
Downing,8,./markedupfiles/406.txt,1,8,False,100,1,2,3,False,False,False,100,False,False,True
Street,9,./markedupfiles/406.txt,1,9,False,100,0,3,2,False,False,False,100,False,False,True
Gordon,25,./markedupfiles/406.txt,1,25,False,100,1,4,1,False,False,False,100,True,False,True
Brown,26,./markedupfiles/406.txt,1,26,False,100,0,5,0,False,False,False,100,True,False,False
June,50,./markedupfiles/406.txt,1,50,False,100,2,3,0,False,False,False,100,False,False,False
David,54,./markedupfiles/406.txt,1,54,False,1,3,2,2,False,False,False,100,False,True,True
Lloyd,55,./markedupfiles/406.txt,1,55,False,2,2,3,1,False,False,False,100,False,True,True
George,56,./markedupfiles/406.txt,1,56,False,3,1,4,0,False,False,False,100,False,True,True
Brown,73,./markedupfiles/406.txt,1,73,False,100,0,100,0,False,False,False,100,False,False,False
Foreign,110,./markedupfiles/406.txt,1,110,False,2,3,1,1,False,False,False,100,False,False,True
Office,111,./markedupfiles/406.txt,1,111,False,3,2,2,0,False,False,False,100,False,False,True
Labour,113,./markedupfiles/406.txt,1,113,False,5,0,1,1,False,False,False,100,False,False,False
Brown,122,./markedupfiles/406.txt,1,122,False,100,100,3,1,False,False,False,100,False,False,False
Gordon,137,./markedupfiles/406.txt,1,137,False,100,1,2,1,False,False,False,100,False,False,True
Brown,138,./markedupfiles/406.txt,1,138,False,100,0,3,0,False,False,False,100,False,False,False
Glasgow,142,./markedupfiles/406.txt,1,142,False,2,100,1,0,False,False,False,100,True,False,False
February,145,./markedupfiles/406.txt,1,145,False,5,100,2,1,False,False,False,100,True,False,False
Church,151,./markedupfiles/406.txt,1,151,False,100,100,1,0,False,False,False,100,True,False,False
Scotland,153,./markedupfiles/406.txt,1,153,False,100,100,4,1,False,False,False,100,True,False,True
Minister,154,./markedupfiles/406.txt,1,154,False,100,100,5,0,False,False,False,100,True,False,True
Fife,158,./markedupfiles/406.txt,1,158,False,100,0,2,1,False,False,False,4,True,False,False
Kirkcaldy,161,./markedupfiles/406.txt,1,161,False,2,3,1,2,False,False,False,100,False,False,True
Labour,168,./markedupfiles/406.txt,1,168,False,3,100,1,0,False,False,False,100,False,False,False
Scotland,180,./markedupfiles/406.txt,1,180,False,100,100,1,2,False,False,False,100,True,False,True
Edinburgh,190,./markedupfiles/406.txt,1,190,False,100,3,1,1,False,False,False,100,True,False,True
University,191,./markedupfiles/406.txt,1,191,False,100,2,2,0,False,False,False,100,True,False,True
PhD,199,./markedupfiles/406.txt,1,199,False,3,3,1,3,False,False,False,100,True,False,True
Scottish,217,./markedupfiles/406.txt,1,217,False,100,100,1,100,False,False,False,100,True,False,True
Labour,218,./markedupfiles/406.txt,1,218,False,100,3,2,100,False,False,False,100,True,False,True
Party,219,./markedupfiles/406.txt,1,219,False,100,2,3,3,False,False,False,100,True,False,True
Westminster,225,./markedupfiles/406.txt,1,225,False,1,100,2,0,False,False,False,100,False,False,False
Edinburgh,227,./markedupfiles/406.txt,1,227,False,3,3,1,1,False,False,False,100,False,False,True
South,228,./markedupfiles/406.txt,1,228,False,4,2,2,0,False,False,False,100,False,False,True
Tory,236,./markedupfiles/406.txt,1,236,False,5,100,2,1,False,False,False,100,False,False,False
Michael,241,./markedupfiles/406.txt,1,241,False,100,100,3,2,False,False,False,100,True,False,True
Ancram,242,./markedupfiles/406.txt,1,242,False,100,100,4,1,False,False,False,100,True,False,True
Dunfermline,248,./markedupfiles/406.txt,1,248,False,1,100,2,1,False,False,False,100,True,False,True
East,249,./markedupfiles/406.txt,1,249,False,2,100,3,0,False,False,False,100,True,False,True
Rosyth,254,./markedupfiles/406.txt,1,254,False,100,100,4,100,False,False,False,100,True,False,False
Entering,262,./markedupfiles/406.txt,1,262,False,100,2,3,1,False,False,False,100,False,False,True
Westminster,263,./markedupfiles/406.txt,1,263,False,100,1,4,0,False,False,False,100,False,False,True
Sedgefield,276,./markedupfiles/406.txt,1,276,False,100,100,1,100,False,False,False,2,False,False,False
Tony,277,./markedupfiles/406.txt,1,277,False,100,100,2,100,False,False,False,3,False,False,True
Blair,278,./markedupfiles/406.txt,1,278,False,100,100,3,100,False,False,False,4,False,False,True
Within,279,./markedupfiles/406.txt,1,279,False,100,100,4,100,False,False,False,5,False,False,True
Brown,283,./markedupfiles/406.txt,1,283,False,100,0,100,0,False,False,False,100,False,False,False
Treasury,296,./markedupfiles/406.txt,1,296,False,2,1,1,100,False,False,False,100,False,False,True
John,302,./markedupfiles/406.txt,1,302,False,4,100,1,2,False,False,False,100,False,False,True
Smiths,303,./markedupfiles/406.txt,1,303,False,5,100,2,1,False,False,False,100,False,False,False
John,312,./markedupfiles/406.txt,1,312,False,100,100,2,1,False,False,False,100,False,False,True
Smith,313,./markedupfiles/406.txt,1,313,False,100,3,3,0,False,False,False,100,False,False,False
Tony,322,./markedupfiles/406.txt,1,322,False,1,3,2,1,False,False,False,100,False,False,True
Blair,323,./markedupfiles/406.txt,1,323,False,2,2,3,0,False,False,False,100,False,False,False
Granita,337,./markedupfiles/406.txt,1,337,False,100,100,1,1,False,False,False,100,True,False,False
Islington,340,./markedupfiles/406.txt,1,340,False,100,2,1,0,False,False,False,100,True,False,True
Blair,349,./markedupfiles/406.txt,1,349,False,100,0,2,0,False,False,False,100,False,False,False
Westminster,364,./markedupfiles/406.txt,1,364,False,2,100,1,100,False,False,False,100,False,False,False
Blairs,367,./markedupfiles/406.txt,1,367,False,5,1,4,2,False,False,False,100,False,False,False
Brown,406,./markedupfiles/406.txt,1,406,False,100,3,3,1,False,False,False,100,True,False,False
Browns,456,./markedupfiles/406.txt,1,456,False,100,100,5,2,False,False,False,100,True,False,False
Princess,462,./markedupfiles/406.txt,1,462,False,100,100,3,1,True,False,False,100,False,False,True
Marguerite,463,./markedupfiles/406.txt,1,463,False,100,100,4,0,False,False,False,100,False,False,False
Romania,465,./markedupfiles/406.txt,1,465,False,100,100,1,0,False,False,False,100,False,False,False
Michael,471,./markedupfiles/406.txt,1,471,False,100,3,2,0,False,False,False,100,False,True,False
Romania,473,./markedupfiles/406.txt,1,473,False,100,1,4,0,False,False,False,100,False,True,False
Brown,490,./markedupfiles/406.txt,1,490,False,4,100,4,0,False,False,False,100,False,True,False
Sarah,495,./markedupfiles/406.txt,1,495,False,100,100,4,1,False,False,False,100,False,False,True
Macaulay,496,./markedupfiles/406.txt,1,496,False,100,100,5,0,False,False,False,100,False,False,False
Jennifer,514,./markedupfiles/406.txt,1,514,True,100,100,4,1,False,False,False,100,True,False,False
Edinburgh,517,./markedupfiles/406.txt,1,517,False,100,100,1,100,False,False,False,100,True,False,True
Royal,518,./markedupfiles/406.txt,1,518,False,100,100,2,3,False,False,False,100,True,False,True
Infirmary,519,./markedupfiles/406.txt,1,519,False,100,100,3,2,False,False,False,100,True,False,True
October,532,./markedupfiles/406.txt,1,532,False,100,3,1,1,False,False,False,100,True,False,False
John,540,./markedupfiles/406.txt,1,540,True,4,100,3,1,False,False,False,100,True,False,False
Africa,559,./markedupfiles/406.txt,1,559,False,1,3,1,1,False,False,False,100,False,False,False
Brown,591,./markedupfiles/406.txt,1,591,False,100,3,2,0,False,False,False,100,False,False,False
Blair,594,./markedupfiles/406.txt,1,594,False,100,0,2,3,False,False,False,100,False,False,False
NHS,609,./markedupfiles/406.txt,1,609,False,3,1,4,0,False,False,False,100,False,False,False
Old,616,./markedupfiles/406.txt,1,616,False,4,100,1,1,False,False,False,100,False,False,True
Labour,617,./markedupfiles/406.txt,1,617,False,5,100,2,0,False,False,False,100,False,False,False
Blair,620,./markedupfiles/406.txt,1,620,False,100,3,2,0,False,False,False,100,False,False,False
New,647,./markedupfiles/406.txt,1,647,False,100,100,5,3,False,False,False,100,False,False,True
Labour,648,./markedupfiles/406.txt,1,648,False,100,100,2,2,False,False,False,100,False,False,True
Yet,650,./markedupfiles/406.txt,1,650,False,100,100,4,0,False,False,False,100,False,False,False
Brown,666,./markedupfiles/406.txt,1,666,False,100,100,2,3,False,False,False,100,False,False,False
Downing,676,./markedupfiles/406.txt,1,676,False,100,100,2,2,False,False,False,100,False,False,True
Street,677,./markedupfiles/406.txt,1,677,False,100,100,3,1,False,False,False,100,False,False,True
Blair,683,./markedupfiles/406.txt,1,683,False,100,3,3,0,False,False,False,100,False,False,False
Brown,704,./markedupfiles/406.txt,1,704,False,100,100,3,0,False,False,False,100,True,True,False
Budget,721,./markedupfiles/406.txt,1,721,False,100,100,1,0,False,False,False,100,False,False,False
Labour,734,./markedupfiles/406.txt,1,734,False,4,1,3,2,False,False,False,100,False,False,True
MPs,735,./markedupfiles/406.txt,1,735,False,5,0,4,1,False,False,False,100,False,False,True
Events,757,./markedupfiles/406.txt,1,757,False,100,100,5,2,False,False,False,100,False,False,False
Brown/Blair,773,./markedupfiles/406.txt,1,773,False,3,100,1,1,False,False,False,100,False,False,False
Westminster,791,./markedupfiles/406.txt,1,791,False,100,100,1,2,False,False,False,100,True,False,True
Blairite,830,./markedupfiles/406.txt,1,830,False,3,3,1,2,False,False,False,100,False,False,False
Alan,831,./markedupfiles/406.txt,1,831,False,4,2,2,1,False,False,False,100,False,False,True
Milburn,832,./markedupfiles/406.txt,1,832,False,5,1,3,0,False,False,False,100,False,False,False
Brown,841,./markedupfiles/406.txt,1,841,False,3,0,2,0,False,False,False,100,False,False,False
Tories,850,./markedupfiles/406.txt,1,850,False,100,2,1,0,False,False,False,100,False,False,False
Brown,868,./markedupfiles/406.txt,1,868,False,100,100,2,2,False,False,False,100,False,False,True
Budget,872,./markedupfiles/406.txt,1,872,False,100,100,1,0,False,False,False,100,False,False,False
Labours,880,./markedupfiles/406.txt,1,880,False,2,100,2,2,False,False,False,100,False,False,False
Amid,882,./markedupfiles/406.txt,1,882,False,4,3,4,0,False,False,False,100,False,False,False
Brown,892,./markedupfiles/406.txt,1,892,False,3,2,2,1,False,False,False,100,False,False,False
Blair,901,./markedupfiles/406.txt,1,901,False,2,100,3,0,False,False,False,100,False,False,False
Labour,903,./markedupfiles/406.txt,1,903,False,4,2,1,3,False,False,False,100,False,False,False
Milburn,919,./markedupfiles/406.txt,1,919,False,100,3,5,1,False,False,False,100,False,False,False
Brown,937,./markedupfiles/406.txt,1,937,False,100,100,2,1,False,False,False,100,False,False,False
Blairs,941,./markedupfiles/406.txt,1,941,False,100,1,2,1,False,False,False,100,False,False,False
Brown,954,./markedupfiles/406.txt,1,954,False,2,1,4,1,False,False,False,100,True,False,False
Crisis,0,./markedupfiles/016.txt,1,0,False,100,100,100,1,False,False,False,100,False,False,False
MPs,23,./markedupfiles/016.txt,1,23,False,5,0,1,0,False,False,False,100,True,False,False
Commons,42,./markedupfiles/016.txt,1,42,False,100,100,1,1,False,False,False,100,False,False,False
Major,48,./markedupfiles/016.txt,1,48,False,100,100,4,1,False,False,False,100,False,False,False
Economic,80,./markedupfiles/016.txt,1,80,False,100,100,1,3,False,False,False,100,False,False,True
Social,81,./markedupfiles/016.txt,1,81,False,100,100,2,2,False,False,False,100,False,False,True
Research,82,./markedupfiles/016.txt,1,82,False,100,100,3,1,False,False,False,100,False,False,True
Council,83,./markedupfiles/016.txt,1,83,False,100,3,4,0,False,False,False,100,False,False,True
Economic,186,./markedupfiles/016.txt,1,186,False,5,100,1,0,False,False,False,100,False,False,False
