,3.5mm jack,Battery ,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
0,Yes,3000 mAh,Yes,,64 GB,Hybrid Slot,,Honor 9 Lite ,Android Oreo 8,"‚¹14,999",13MP + 2MP,2.36 GHz,Nano SIM,13MP + 2MP,"Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",149 g,2160 x 1080 Pixels
1,Yes,5000 mAh,Yes,,32 GB,Dedicated Slot,,Moto E4 Plus ,Android Nougat 7.1.1,"‚¹9,999",13MP,1.3 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",198 g,1280 x 720 Pixels
2,,2000 mAh,,,16 GB,Dedicated Slot,,Gionee P5_W ,Android Lollipop 5.1,"‚¹3,898",5MP,1.3 GHz,,,,,1280 x 720 Pixels
3,Yes,4000 mAh,Yes,Adreno 505 at 450 MHz,32 GB,Hybrid Slot,,Lenovo K6 Power ,Android Marshmallow 6.0.1,"‚¹9,025",13MP,1.4 GHz,Nano SIM,8MP,"Gravity, Proximity, Light, Vibrator, Gyro, Fingerprint Sensor, Use the Fingerprint Reader to Effortlessly Click Selfies",145 g,1920 x 1080
4,Yes,2800 mAh,Yes,ARM MALI- T720,16 GB,Dedicated Slot,,Aqua JAZZ ,Android Nougat 7.0,"‚¹5,399",13MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Light Sensor",151 g,720 x 1280 Pixels
5,Yes,3000 mAh,Yes,ARM MaIi - T860 MP2,64 GB,Hybrid Slot,,VIVO V5s Perfect Selfie ,Android Nougat 7 (Update Available),"‚¹15,990",13MP,1.5 GHz,Micro SIM and Nano SIM,20MP,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",154 g,1280 x 720 pixels
6,Yes,2400 mAh,Yes,ARM Mali T720 MP1,32 GB,Dedicated Slot,,Samsung Galaxy J5 Prime ,Android Marshmallow 6,"‚¹11,990",13MP,1.4 GHz,Micro SIM,5MP,"Accelerometer, Light Sensor, Proximity Sensor",,1280 x 720
7,Yes,4000 mAh,Yes,,128 GB,Hybrid Slot,Yes,Honor 8 Pro ,Android Nougat 7.0,"‚¹29,999",12MP + 12MP,2.4 GHz,Nano SIM,8MP,"Hall Sensor, Infrared Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Digital Compass, Gravity Sensor, Gyroscope, Status Indicator",184 g,2560 x 1440 Pixels
8,,2200 mAh,,,8 GB,Dedicated Slot,,I Kall K-2 ,Android Marshmallow 6.0,"‚¹3,899",5MP,1.3 GHz,Micro SIM,,,,854 x 480$$Pixels
9,Yes,1000 mAh,,,32 MB,Dedicated Slot,,InFocus Hero Smart P4,,‚¹606,0.3MP,1 MHz,,,,,240 x 320$$Pixels
10,Yes,1000 mAh,,,64 MB,Dedicated Slot,,I Kall K31 with Flash Light,,‚¹599,0.3MP,,,,,,128 x 160 Pixels
11,,850 mAh,,,32 MB,Dedicated Slot,,Kechaoda K66 Plus,1,‚¹901,.3MP,1 MHz,Micro,,,.10 g,320*240
12,,800 mAh,,,1 MB,Dedicated Slot,,Iball CR2,,‚¹799,0.3MP,,,,,,160 x 240 Pixels
13,,1000 mAh,,,34.5 KB,Dedicated Slot,,Intex Eco Music,,‚¹799,0.8MP,1 MHz,,,,,128 x 160$$Pixels
14,,2500 mAh,,,16 GB,Hybrid Slot,,Coolpad Note 5 Lite ,Android Marshmallow 6.0,"‚¹7,900",13MP,1.2 GHz,,,,,720 x 1280 Pixels
15,Yes,2900 mAh,Yes,,64 GB,Hybrid Slot,Yes,Sony Xperia XZs ,Android Nougat 7,"‚¹41,990",19MP,2.2 GHz,Nano SIM,13MP,Fingerprint Sensor,161 g,1920 x 1080 pixels
16,Yes,800 mAh,,,32 MB,Dedicated Slot,,Intex Eco Sports+,,‚¹728,0.08MP,,,,,72 g,128 x 160 Pixels
17,Yes,3000 mAh,Yes,Adreno 510 @550 MHz,32 GB,Hybrid Slot,,LYF Water F1S ,Android Marshmallow 6,"‚¹20,249",16MP,1.8 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Gyroscope, E-Compass, Ambient Light Sensor, Hall Sensor",146 g,1920 x 1080 pixels
18,Yes,1800 mAh,,,64 MB,Dedicated Slot,,I Kall K35,,‚¹799,0.3MP,,,,,,240 x 320 Pixels
19,,900 mAh,,,4 MB,,,Nokia 1110I,,‚¹980,0MP,1 MHz,,,,,128 x 160$$Pixels
20,Yes,1000 mAh,,,64 MB,Dedicated Slot,,I Kall K3310 Combo Of Two Mobile,,"‚¹1,199",0.3MP,,,,,,128 x 160 Pixels
21,Yes,3000 mAh,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7.0,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
22,Yes,2500 mAh,Yes,Mali - T720 MP1,16 GB,Dedicated Slot,,Micromax Bharat 4 ,Android Nougat 7,"‚¹4,999",5MP,1.3 GHz,Micro SIM and Micro SIM,5MP,"Gravity Sensors, Proximity Sensor (By SW)",150 g,1280 x 720 Pixels
23,Yes,1750 mAh,,,,Dedicated Slot,,Lava Captain K1 Plus,,‚¹939,0.3MP,,,,,120 g,128 x 160 Pixels
24,,2820 mAh,,,16 GB,,,Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust ,Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
25,Yes,1800,,,2 MB,Dedicated Slot,,Fox Champ FX240,,‚¹999,0.3MP,1 MHz,,,,,240 x 320$$Pixels
26,,2000 mAh,,,4 GB,Dedicated Slot,,Karbonn Alfa A91 Storm 3G ,Android Lollipop 5.1,"‚¹2,548",2MP,1.2 GHz,,,,,480 x 800
27,,1750 mAh,,,256 MB,,,Micromax Dual Sim,0,"‚¹1,049",0.3MP,,,,,,320 x 240
28,,2200 mAh,Yes,,16 GB,Hybrid Slot,,Panasonic Eluga I2 Activ ,Android Nougat 7,"‚¹7,499",8MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor",133 g,1280 x 720 Pixels
29,Yes,1800 mAh,,,64 MB,Dedicated Slot,,1+1=2 D6,0,‚¹669,0.3MP,,,,,,128 x 160$$Pixels
30,,2200 mAh,,,32 MB,Dedicated Slot,,Mezire G3310,,"‚¹1,234",0.03MP,1.2 MHz,,,,,176 x 220$$Pixels
31,,5000 mAh,Yes,,16 GB,Dedicated Slot,,Panasonic P55 Max ,Android Nougat 7.0,"‚¹7,999",13MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor",180 g,1280 x 720 pixels
32,,600 mAh,,,256 MB,Dedicated Slot,,GreenBerry M1,,‚¹999,2MP,,Micro SIM,,,,320 x 480 Pixels
33,,3090 mAh,Yes,,64 GB,,,Nokia 8 ,Android Nougat 7.1.1,"‚¹29,999",13MP + 13MP,2.5 GHz,Nano SIM and Nano SIM,13MP,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,2560 x 1440 Pixels
34,,1000 mAh,,,64 MB,Dedicated Slot,,I Kall K 20,,‚¹549,0.3MP,,,,,,128 x 160 Pixels
35,,3020 mAh,,,32 GB,Hybrid Slot,,Lava Z25 ,Android Marshmallow 6,"‚¹14,990",13MP,1.5 GHz,,8MP,Fingerprint Sensor,163 g,1280 x 720 pixels
36,Yes,3000 mAh,,,32 MB,Dedicated Slot,,InFocus F229,,"‚¹1,199",1.3MP,,Normal SIM,,,,320 x 240 Pixels
37,,800,,,64 MB,Dedicated Slot,,I Kall K12,,‚¹599,0.3MP,,Normal SIM,,,,128 x 160$$Pixels
38,,600 mAh,,,256 MB,Dedicated Slot,,GreenBerry M3,,‚¹999,2MP,,Micro SIM,,,,320 x 480 Pixels
39,,1750,,,64 MB,Dedicated Slot,,Citycall M87,,"‚¹1,099",1.2MP,1.2 MHz,,,,,320 x 400$$Pixels
40,,3090 mAh,Yes,,64 GB,,,Nokia 8 ,Android Nougat 7.1.1,"‚¹29,960",13MP + 13MP,2.5 GHz,Nano SIM and Nano SIM,13MP,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,2560 x 1440 Pixels
41,Yes,950 mAh,,,64 MB,Dedicated Slot,,GLX W8,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
42,Yes,3000 mAh,,,16 GB,Dedicated Slot,Yes,Nokia 5 ,Android Nougat 7.1.1,"‚¹11,499",13MP,1.4 GHz,,8MP,"Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor, NFC (Sharing)",,1280 x 720 Pixels
43,Yes,2000 mAh,Yes,,8 GB,Dedicated Slot,,Intex Aqua Amaze Plus ,Android Marshmallow 6,"‚¹4,145",5MP,1.3 GHz,Micro SIM and Nano SIM,5MP,"GC Sensor, G-sensor, Proximity Sensor, Light Sensor 3 in 1",128 g,1280 x 720 Pixels
44,,2500 mAh,,,8 GB,Dedicated Slot,,Celkon U Feel Pro ,Android Marshmallow 6.0,"‚¹3,999",5MP,1.2 GHz,,,,,720 x 1280$$Pixels
45,Yes,1700 mAh,,,32 MB,,,Chilli B39,Symbian,"‚¹1,099",1.3MP,,,,,,240 x 320 Pixels
46,Yes,2300 mAh,Yes,,16 GB,Hybrid Slot,,LG X Screen K500I ,Android Marshmallow 6,"‚¹9,810",13MP,1.2 GHz,Nano SIM,5MP,,120 g,1280 x 720 Pixels
47,Yes,3000 mAh,Yes,Adreno 510,32 GB,Hybrid Slot,No,VIVO V5 ,Android Marshmallow 6,"‚¹14,999",13MP,1.5 GHz,Micro SIM and Nano SIM,20MP,"Proximity Sensor, Accelerometer, E-compass, Ambient Light Sensor, Fingerprint",154 g,1280 x 720 Pixels
48,Yes,3000 mAh,,,32 MB,,,Blackbear C-88,,"‚¹1,250",0.3MP,,,,,120 g,320 x 220 Pixels
49,,1850 mAh,Yes,,8 GB,Dedicated Slot,,Gionee P5 Mini ,Android Lollipop 5.1,"‚¹4,890",5MP,1.3 GHz,Micro SIM,2MP,"Digital Compass, Proximity Sensor, G-Sensor, Light Sensor, Accelerometer",132 g,854 x 480 Pixels
50,Yes,2800 mAh,,,,Dedicated Slot,,Zen Power 205,,"‚¹1,370",1.3MP,,,,,,320 x 480 Pixels
51,,800 mAh,,,20 KB,,,Zen Atom 102,,‚¹999,1.3MP,,Micro SIM,,,,480 x 854 Pixels
52,Yes,3000 mAh,,,16 GB,Dedicated Slot,Yes,Nokia 5 ,Android Nougat 7.1.1,"‚¹11,400",13MP,1.4,,8MP,"Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor",,1280 x 720 pixels
53,Yes,3000 mAh,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
54,,3020,Yes,,32 GB,Hybrid Slot,,Honor Holly 4 ,Android Nougat 7.0,"‚¹9,999",13MP,1.4 GHz,,5MP,"Fingerprint Sensor, Accelerometer, Proximity Ambient light sensor, G-sensor",,1280 x 720$$Pixels
55,Yes,950 mAh,,,64 MB,Dedicated Slot,,Gfive U229 Combo of Two Mobile,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
56,,2500 mAh,Yes,,16 GB,,,Asus Zenfone Go 5.0 LTE ,Android KitKat 4.4,"‚¹5,990",8MP,1.2 GHz,Micro SIM,5MP,"Accelerometer, Gravity Sensor, Proximity Sensor, Ambient Light Sensor",,1280 x 720 Pixels
57,,300 mAh,,,32 MB,Dedicated Slot,,Whitecherry Spinner,,‚¹939,0MP,1.1 MHz,,,,,128 x 160$$Pixels
58,Yes,2700 mAh,,,,,,Lava KKT 40 Power,,"‚¹1,699",0.3MP,,,,,,320 x 240 Pixels
59,,1000 mAh,,,32 MB,Dedicated Slot,No,InFocus Selfie C1,,‚¹644,1.3MP,1.2 MHz,Normal,0.3MP,na,,320 x 240$$Pixels
60,,4000 mAh,,,8 GB,,,Micromax JUICE 3 ,Android Lollipop V5.1,"‚¹7,999",8MP,1.3 GHz,,,,,1280 x 720 Pixels
61,,2800 mAh,Yes,,8 GB,Dedicated Slot,,LYF C451 ,Android Marshmallow 6,"‚¹4,150",5MP,1.3 GHz,Micro SIM and Micro SIM,2MP,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",165 g,480 x 854 Pixels
62,,5000 mAh,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga A4 ,Android Nougat 7,"‚¹8,990",13MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",162 g,1280 x 720 Pixels
63,Yes,1450 mAh,Yes,,32 MB,,Yes,blackbear i7 yellow Color Free Back cover,1.2,"‚¹1,119",0.3MP,1 MHz,Full,,No,110 g,420x320
64,Yes,3000 mAh,Yes,Adreno 505 with GPU Supporting Upto 450 MHz Core,32 GB,Hybrid Slot,,Moto G5s ,Android Nougat 7.1.1,"‚¹11,675",16MP,1.4 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient, Light, Proximity",157 g,1920 x 1080 Pixels
65,,3000 mAh,,,20 MB,Hybrid Slot,,Ziox Thunder Bolt,,"‚¹1,299",0.3MP,,Normal SIM,,,,240 x 320 Pixels
66,Yes,2000 mAh,,,8 GB,Dedicated Slot,,LYF C459 ,Android Marshmallow 6.0.1,"‚¹3,999",5MP,1.3 GHz,Micro SIM,2MP,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",139 g,480 x 854$$Pixels
67,Yes,2000 mAh,Yes,,16 GB,Hybrid Slot,,Intex Aqua Xtreme II ,Android KitKat 4.4.2,"‚¹4,999",13MP,1.4 GHz,Micro SIM,,"G-Sensor, Proximity Sensor, Light Sensor,Gyro, E-compass Assistant Sensor",132 g,1280 x 720 Pixels
68,,1000 mAh,,,32 MB,Dedicated Slot,,Mymax M42,,‚¹599,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
69,Yes,1050 mAh,,,64 MB,Dedicated Slot,,Kara Passion,,‚¹599,0.3MP,,,,,,320 x 480 Pixels
70,Yes,950 mAh,,,64 MB,Dedicated Slot,,Gfive U229 Combo of Three Mobile,0,"‚¹1,659",0.3MP,,,,,,128 x 160$$Pixels
71,,1000 mAh,,,32 MB,Dedicated Slot,,UI Phones Selfie 1,,‚¹830,0.3MP,,,,,,128 x 160 Pixels
72,Yes,2125 mAh,Yes,Adreno 304; 409 MHz,8 GB,,,LG K-7 ,Android Lollipop 5.1,"‚¹6,730",5MP,1.1 GHz,Nano SIM,5MP,"Proximity, Accelerometer, Digital Compass",141 g,854 x 480 pixel
73,,3500 mAh,,,32 GB,Hybrid Slot,,Lenovo Vibe K5 Note ,Android Marshmallow 6,"‚¹10,223",13MP,1.8 GHz,Nano SIM,8MP,Finger Print Sensor,165 g,1920 x 1080 pixels
74,,850 mAh,,,100 MB,Dedicated Slot,,Teckmax 37 Mini,,‚¹798,0MP,1 MHz,,,,,120 x 240$$Pixels
75,,4000 mAh,Yes,,32 GB,Dedicated Slot,,Gionee A1 Lite ,Android Nougat 7.0,"‚¹11,450",13MP,1.3 GHz,Nano SIM and Nano SIM,20MP,,116 g,1280 x 720 Pixels
76,,2000 mAh,,,8 GB,Dedicated Slot,,XCCESS A1 Elite ,Android Lollipop 5.1,"‚¹3,999",8MP,1.2 GHz,,,,,1280 x 720 Pixels
77,,2000 mAh,,,8 GB,,,Micromax Canvas Amaze ,Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels
78,Yes,2300 mAh,,,8 GB,Dedicated Slot,,Karbonn K9 Smart Eco ,Android Nougat 7.0,"‚¹2,810",2MP,1.2 GHz,,2MP,,156 g,480 x 854 Pixels
79,Yes,4000 mAh,Yes,Adreno 506,64 GB,Hybrid Slot,,Redmi Note 5 ,Android Nougat 7.1.2,"‚¹11,999",12MP,2 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",180 g,2160 x 1080 Pixels
80,Yes,2600 mAh,Yes,ARM Mali-T720 MP1,8 GB,Dedicated Slot,,Samsung Galaxy On5 ,Android Marshmallow 6.0.1,"‚¹6,990",8MP,1.3 GHz,Micro SIM,5MP,"Accelerometer, Proximity Sensor",149 g,1280 x 720 Pixels
81,Yes,3600 mAh,,,32 GB,,Yes,Samsung Galaxy S7 Edge ,Android Marshmallow 6,"‚¹35,900",12MP,2.3 GHz,Nano SIM,5MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",157 g,2560 X 1440 Pixels
82,Yes,1800 mAh,No,,,,No,Karbonn K9,Belle,"‚¹1,155",2.0MP,,,,,,"QVGA, 240 x 320"
83,Yes,1000,,,10 MB,Dedicated Slot,,BlackZone Flip-X,,‚¹829,0.3MP,1 MHz,,,,,320 x 240$$Pixels
84,,2200 mAh,Yes,,16 GB,Dedicated Slot,,Panasonic P100 ,Android Nougat 7.0,"‚¹5,299",8MP,1.25 GHz,Micro SIM and Micro SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",174.8 g,1280 x 720 Pixels
85,Yes,2500 mAh,Yes,,4 GB,Dedicated Slot,,Swipe Neo Power ,Android Marshmallow 6.0,"‚¹2,690",5MP,1.3 GHz,Nano SIM and Micro SIM,2MP,,125 g,800 x 480 Pixels
86,,400 mAh,,,250 MB,Dedicated Slot,,Kechaoda K55 Ultra Slim,,‚¹790,,,Micro SIM,,,50 g,320 x 480 Pixels
87,Yes,1000,,,10 MB,Dedicated Slot,,BlackZone Flip-X,,‚¹829,0.3MP,1 MHz,,,,,320 x 240$$Pixels
88,,400 mAh,,,32 MB,Dedicated Slot,,Kechaoda K116 Plus,,‚¹975,0.3MP,0.1 MHz,,,,,320 x 240$$Pixels
89,,4000 mAh,,,32 GB,,,Lenovo K8 ,Android Nougat 7.1.1,"‚¹8,999",13MP,2.3 GHz,Nano SIM,8MP,Fingerprint Sensor,,1280 x 720
90,,2500 mAh,Yes,,16 GB,Hybrid Slot,,ZTE V7 Lite ,Android Marshmallow 6.0,"‚¹8,766",13MP,1 GHz,,8MP,"Fingerprint (rear-mounted), accelerometer, proximity, compass",133.3 g,720 x 1280 pixels
91,,1000 mAh,,,64 MB,,,I Kall K71 Combo of Two Mobile,,‚¹799,0MP,,Normal SIM,,,,96 x 68 Pixels
92,,1650 mAh,,,56 MB,,,Micromax X913,,"‚¹1,749",0.3MP,,,,,,320 x 480 Pixels
93,Yes,1000 mAh,,,32 MB,Dedicated Slot,,Trio T6*,,‚¹799,1.3MP,,Normal SIM,,,,320 x 480 Pixels
94,,5000 mAh,Yes,Adreno 306,16 GB,,,Asus Zenfone Max ,Android Marshmallow 6,"‚¹7,465",13MP,1 GHz,Micro SIM,5MP,"Accelerometer, eCompass, Proximity Sensor, Hall Sensor, Ambient Light Sensor",202 g,1280 x 720 Pixels
95,,300 mAh,,,32 MB,Dedicated Slot,,Chilli K130 SPINNER,,‚¹869,0MP,1.1 MHz,,,,,128 x 260 Pixels
96,,1000 mAh,,,64 MB,,,I Kall K 55,,‚¹599,0.3MP,,,,,,128 x 160 Pixels
97,,4000 mah,,,16 GB,Hybrid Slot,,InFocus Vision 3 ,Android Nougat 7.0,"‚¹9,999",13MP + 5MP,1.3 GHz,,8MP,,,1440 x 720$$Pixels
98,,1000 mAh,,,32 MB,Dedicated Slot,,I-Plus I-4,,‚¹699,0.03MP,0.05 MHz,,,,,120 x 160$$Pixels
99,,1000,,,32 MB,Dedicated Slot,,Yxtel 2202,No,‚¹610,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
100,Yes,2200 mAh,,,32 GB,Hybrid Slot,,Comio C1 4G ,Android Nougat 7.0,"‚¹5,499",8MP,1.3 GHz,,5MP,,175 g,1280 x 720 Pixels
101,,2500 mAh,,,16 GB,,,Panasonic P55 Novo ,Android Marshmallow 6,"‚¹7,999",13MP,1.3 GHz,,,Proximity Sensor,,1280 x 720 Pixels
102,Yes,3000 mAh,Yes,Qualcomm Adreno 506,32 GB,Dedicated Slot,No,VIVO V7 ,Android Nougat 7.1,"‚¹16,990",16MP,1.8 GHz,Dual Nano SIM,24MP,"Fingerprint Sensor, Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope",139 g,1440 x 720 Pixels
103,,1000 mAh,,,64 MB,,,I Kall K12,,‚¹599,0.3MP,,,,,,128 x 160
104,Yes,1000,No,,32 MB,Dedicated Slot,No,Easyfone Elite,,"‚¹2,650",0.3MP,,Normal SIM,,,,240 x 320$$Pixels
105,,800 mAh,,,,Dedicated Slot,,Rocktel W18,,‚¹569,0.03MP,,,,,,160 x 120 Pixels
106,,2500 mAh,,,8 GB,Dedicated Slot,,Reach Allure Lite ,Android Lollipop 5.1,"‚¹3,349",5MP,1.3 GHz,,2MP,,,854 x 480 Pixels
107,,3000 mAh,Yes,,16 GB,Dedicated Slot,,OPPO A71 ,Android Nougat 7.1,"‚¹9,788",13MP,1.5 GHz,Nano SIM and Nano SIM,5MP,"Proximity Sensor, Light Sensor, Accelerator Sensor, E-compass",137 g,1280 x 720 Pixels
108,Yes,800 mAh,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹848,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
109,,4000 mAh,,,32 GB,Hybrid Slot,,Lenovo K6 Note ,Android Marshmallow 6,"‚¹9,035",16MP,1.4 GHz,Nano SIM,8MP,,160 g,1080 x 1920 Pixels
110,,1200 mAh,,,10 MB,Dedicated Slot,,Reach Cogent Mini,,‚¹899,0.3MP,,,,,,320 x 480 Pixels
111,,1000 mAh,,,32 MB,Dedicated Slot,,Mymax M41,,‚¹599,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
112,Yes,2000 mAh,Yes,,16 GB,Dedicated Slot,,Gionee P5_W ,Android Lollipop 5.1,"‚¹4,125",5MP,1.3 GHz,Micro sim,,"Accelerometer, Proximity, Motion Sensor, E-Compass, G- sensor",,2592x1944
113,Yes,1500 mAh,,,32 MB,Dedicated Slot,,Tork T11,,‚¹749,0.3MP,,Normal SIM,,,,320 x 240 Pixels
114,,1500 mAh,,,128 MB,,,InFocus F135,,"‚¹1,260",1.3MP,456 MHz,,,,,240 x 320 Pixels
115,,1700 mAh,,,32 MB,Dedicated Slot,,Kechaoda Stylish Bold K101,,"‚¹1,040",0.03MP,,,,,,280 x 360 Pixels
116,Yes,1000 mAh,,,32 MB,,,BlackBear STYLE,,‚¹791,0.3MP,,,,,,320 x 480 Pixels
117,Yes,2500 mAh,Yes,,32 GB,Hybrid Slot,,Swipe ELITE Sense- 4G with VoLTE,Android Marshmallow 6.0.1,"‚¹5,999",13MP,1.4 GHz,Micro SIM and Nano SIM,8MP,"G-Sensor, Proximity Sensor, Light Sensor",,1280 x 720 Pixels
118,,850 mAh,,,,,,Peace P2,,‚¹535,0.3MP,,,,,,320 x 120 Pixels
119,,1000 mAh,,,64 MB,Dedicated Slot,,Trio T4 Flash,,‚¹599,1.3MP,1.2 MHz,Normal SIM,,,,126 x 168$$Pixels
120,,1800,,,32 MB,Dedicated Slot,,Gfive M11,No,"‚¹1,099",1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
121,Yes,2000 mAh,Yes,,8 GB,Dedicated Slot,,Intex Aqua Amaze Plus ,Android Marshmallow 6,"‚¹4,145",5MP,1.3 GHz,Micro SIM and Nano SIM,5MP,"GC Sensor, G-sensor, Proximity Sensor, Light Sensor 3 in 1",128 g,1280 x 720 Pixels
122,,800 mAh,,,64 MB,Dedicated Slot,,MTR 230 Mini,,‚¹640,0.3MP,1.4 MHz,,,,,120 x 240$$Pixels
123,,1300 mAh,,,4 GB,Dedicated Slot,,Micromax Bharat 2 ,Android Marshmallow 6,"‚¹3,099",2MP,1.3 GHz,,0.3MP,,,480 x 800 Pixels
124,,1000,,,32 MB,Dedicated Slot,,Mymax M44,No,‚¹515,1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
125,Yes,3000 mAh,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
126,Yes,950 mAh,,,256 MB,,,Melbon Dude-02,,‚¹550,0.3MP,512 MHz,Normal,,,120 g,120 x 240 pixels
127,Yes,1000 mAh,,,64 MB,,,Lemon B201I,Eclair,‚¹825,1MP,,,,G Sensor,,320 x 240
128,,1800 mAh,,,32 MB,Dedicated Slot,,Winstar D555+,,‚¹999,0.3MP,1.2 MHz,Micro SIM,,,,320 x 240$$Pixels
129,Yes,1000,,,64 MB,Dedicated Slot,,Tymes Y2,,‚¹699,1.3MP,1.2 MHz,Normal SIM,,Yes,,240 x 320$$Pixels
130,Yes,1000 mAh,,,32 MB,,,Mtech G7,,‚¹799,0.3MP,312 MHz,,,,70 g,240 x 320 Pixels
131,Yes,1200 mAh,,,0 MB,,,Samsung B351E/Metro 350,,"‚¹2,780",2MP,,,,,89 g,240 x 320 pixels
132,Yes,4100 mAh,Yes,Adreno 506,64 GB,Hybrid Slot,,Redmi Note 4 ,Android Marshmallow 6.0.1,"‚¹10,999",13MP,2 GHz,Micro SIM and Nano SIM,5MP,"Ambient Light Sensor, Proximity Sensor, E-Compass, Accelerometer, Gyroscope, Hall Sensor",165 g,1920 x 1080 pixels
133,,3000 mAh,,650 MHz Adreno 506,64 GB,Hybrid Slot,,Moto G5s Plus ,Android Nougat 7.1,"‚¹14,380",13MP + 13MP,2 GHz,Dual Nano SIM,8MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient Light, Proximity",,1920 x 1080 Pixels
134,Yes,3300 mAh,Yes,,64 GB,Hybrid Slot,,Samsung Galaxy C7 Pro ,Android Marshmallow 6.0,"‚¹24,900",16MP,2.2 GHz,,16MP,,,1920 x 1080 Pixels
135,Yes,2000 mAh,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
136,Yes,1000,,,10 MB,Dedicated Slot,,BlackZone Flip-X,,‚¹829,0.3MP,1 MHz,,,,,320 x 240$$Pixels
137,,1050 mAh,,,256 MB,Dedicated Slot,,Callbar Vibration 1,,‚¹599,1.3MP,100 MHz,,,,,320 x 240$$Pixels
138,,3000 mAh,Yes,,16 GB,Dedicated Slot,,OPPO A71 ,Android Nougat 7.1,"‚¹9,789",13MP,1.5 GHz,Nano SIM and Nano SIM,5MP,"Proximity Sensor, Light Sensor, Accelerator Sensor, E-compass",137 g,1280 x 720 Pixels
